state,population
AL,4903185.0
AK,731545.0
AZ,7278717.0
AR,3017804.0
CA,39512223.0
CO,5758736.0
CT,3565287.0
DE,973764.0
FL,21477737.0
GA,10617423.0
HI,1415872.0
ID,1787065.0
IL,12671821.0
IN,6732219.0
IA,3155070.0
KS,2913314.0
KY,4467673.0
LA,4648794.0
ME,1344212.0
MD,6045680.0
MA,6892503.0
MI,9986857.0
MN,5639632.0
MS,2976149.0
MO,6137428.0
MT,1068778.0
NE,1934408.0
NV,3080156.0
NH,1359711.0
NJ,8882190.0
NM,2096829.0
NY,19453561.0
NC,10488084.0
ND,762062.0
OH,11689100.0
OK,3956971.0
OR,4217737.0
PA,12801989.0
RI,1059361.0
SC,5148714.0
SD,884659.0
TN,6829174.0
TX,28995881.0
UT,3205958.0
VT,623989.0
VA,8535519.0
WA,7614893.0
WV,1792147.0
WI,5822434.0
WY,578759.0
