state,population-below-65,population-above-65
AL,4053348.0,849837.0
AK,639957.0,91588.0
AZ,5970084.0,1308633.0
AR,2493922.0,523882.0
CA,33674108.0,5838115.0
CO,4916324.0,842412.0
CT,2935043.0,630244.0
DE,784858.0,188906.0
FL,16980400.0,4497337.0
GA,9100469.0,1516954.0
HI,1147424.0,268448.0
ID,1496395.0,290670.0
IL,10628589.0,2043232.0
IN,5646476.0,1085743.0
IA,2602116.0,552954.0
KS,2437827.0,475487.0
KY,3717109.0,750564.0
LA,3907772.0,741022.0
ME,1058947.0,285265.0
MD,5086284.0,959396.0
MA,5723171.0,1169332.0
MI,8221456.0,1765401.0
MN,4719250.0,920382.0
MS,2489456.0,486693.0
MO,5075391.0,1062037.0
MT,862341.0,206437.0
NE,1621950.0,312458.0
NV,2584184.0,495972.0
NH,1105847.0,253864.0
NJ,7406655.0,1475535.0
NM,1719223.0,377606.0
NY,16157415.0,3296146.0
NC,8736990.0,1751094.0
ND,642217.0,119845.0
OH,9642780.0,2046320.0
OK,3321839.0,635132.0
OR,3451657.0,766080.0
PA,10408627.0,2393362.0
RI,872315.0,187046.0
SC,4211691.0,937023.0
SD,732788.0,151871.0
TN,5685781.0,1143393.0
TX,25261652.0,3734229.0
UT,2840086.0,365872.0
VT,498950.0,125039.0
VA,7176613.0,1358906.0
WA,6405170.0,1209723.0
WV,1425136.0,367011.0
WI,4805191.0,1017243.0
WY,479580.0,99179.0
